----CONVERSÃO----

IKEN    BCD

2421	8421
0000	0000
0001	0001
0010	0010
0011	0011
0100	0100
1011	0101
1100	0110
1101	0111
1110	1000
1111	1001


------TABELA------

X iiii  yyyy Z
  3210  3210

0 0000  0000 0
0 0001  0001 0
0 0010  0010 0
0 0011  0011 0
0 0100  0100 0
0 0101  1011 0
0 0110  1100 0
0 0111  1101 0
0 1000  1110 0
0 1001  1111 0
0 1010	XXXX 1
0 1011  XXXX 1
0 1100  XXXX 1
0 1101  XXXX 1
0 1110  XXXX 1
0 1111  XXXX 1

1 0000  0000 0
1 0001  0001 0
1 0010  0010 0
1 0011  0011 0
1 0100  0100 0
1 0101  XXXX 1
1 0110  XXXX 1
1 0111  XXXX 1
1 1000  XXXX 1
1 1001  XXXX 1
1 1010  XXXX 1
1 1011  0101 0
1 1100  0110 0
1 1101  0111 0
1 1110  1000 0
1 1111  1001 0
